cat,min_r_ab,epsA0,epsAf,dEpsA,epsB0,epsBf,dEpsB,aA0,aAf,eA0,eAf,aB0,aBf,eB0,eBf,A_bef,A_aft,B_bef,B_aft,e_drift_scan,m_B,v_inf,b_impact,incoming_angle,A_phase,score
ejection,0.03714623805004542,-0.5230160603948244,3.8624391265671085,4.3854551869619325,0.23344078295099882,0.12005543657188837,-0.11338534637911045,0.9569495812846988,-0.12958133024217747,0.05068613192386198,2.1734622552050795,-2.2275456474507815,-4.331332381508834,1.056085033846232,1.0312144254182687,True,False,False,False,5.205043509192812e-09,0.04,0.65,0.6,0.8,0.0,11.203095443937691
no_encounter,0.5898309902825344,-0.4783084567430218,-0.6667518920289677,-0.18844343528594587,0.2346020194094872,0.23944468357186696,0.004842664162379773,1.0463958831254805,0.7506540378564913,0.050664161487788954,0.2992892749140672,-2.216519709885206,-2.1716915666825702,1.0566460211928894,1.047769360066581,True,True,False,False,1.198807992722095e-09,0.04,0.65,0.6,0.8,1.5,-1.0
no_encounter,0.9356336971483283,-0.47291432543166667,-0.446580874281516,0.026333451150150677,0.23474212671627562,0.2332860112722957,-0.0014561154439799162,1.0583312305947883,1.1207376509467228,0.058219953164662594,0.10195377272697484,-2.2151967662306533,-2.2290234942250633,1.054416380532183,1.0644230984957805,True,True,False,False,5.152193189759837e-10,0.04,0.65,0.6,0.8,3.0,-1.0
no_encounter,0.5087722378321098,-0.5168587975746823,-0.4881881268394283,0.028670670735254034,0.23360071185541806,0.23323042144879735,-0.00037029040662070467,0.9683495808691954,1.0252195260058448,0.04320578077766864,0.012676736289814652,-2.2260206138491667,-2.229554775787082,1.0535612525183298,1.0452559647005493,True,True,False,False,4.5646441718668955e-10,0.04,0.65,0.6,0.8,4.5,-1.0
perturbation,0.2163397742431174,-0.4994615,-0.7743393519368015,-0.2748778519368015,0.23450342889935588,0.24142431440634288,0.006920885506986996,1.0020792393407698,0.646357438438501,0.0328176781628438,0.5341056822396515,-2.2174515845701066,-2.153884132502017,1.122868175773685,1.1125779088262115,True,True,False,False,2.2403941410711383e-09,0.04,0.65,0.9,0.0,0.0,1.9227379925793255
no_encounter,0.7104121927425827,-0.4667085113468502,-0.530014743812844,-0.06330623246599376,0.23535415587735975,0.23550523429533313,0.00015107841797337707,1.072403840580564,0.9443133532465162,0.06755259509190165,0.13347702743701045,-2.2094362347736314,-2.2080188644465495,1.1213319614221688,1.1129033359476552,True,True,False,False,1.2870409296408028e-09,0.04,0.65,0.9,0.0,1.5,-1.0
perturbation,0.23000494044024059,-0.4948277904728444,-0.5932525907820617,-0.0984248003092173,0.2346237849909703,0.23756222255562945,0.002938437564659141,1.0114629970999311,0.8436541327872,0.03420551596650215,0.2961625789594487,-2.2163140877640033,-2.1889002148825774,1.1182338666470264,1.1096251333815756,True,True,False,False,1.7145437912837608e-09,0.04,0.65,0.9,0.0,3.0,1.062062689529308
no_encounter,0.8107392181977132,-0.5315589373625655,-0.6128380672258618,-0.08127912986329622,0.23366972922760088,0.2371431354993766,0.0034734062717757253,0.9415700965979978,0.8166920868111485,0.06246321204375546,0.07821592288389541,-2.2253631299136116,-2.192768510482004,1.1193177289719847,1.1117875728442976,True,True,False,False,1.4897448786555551e-09,0.04,0.65,0.9,0.0,4.5,-1.0
perturbation,0.09833059919676833,-0.5230160603948244,-0.008249539133616604,0.5147665212612078,0.2338916221358539,0.22098252678436633,-0.01290909535148757,0.9569495812846988,60.67005585323896,0.05068613192386198,0.9859787678234763,-2.2232519286131702,-2.3531272248842257,1.1216486339097167,1.1128115290230758,True,True,False,False,1.2766236380516727e-11,0.04,0.65,0.9,0.8,0.0,0.14534378763553282
no_encounter,0.4698937260660624,-0.4783084567430218,-0.6517336073153239,-0.17342515057230212,0.23505285859434227,0.2382187185223532,0.003165859928010939,1.0463958831254805,0.7679518048205336,0.050664161487788954,0.3088860096629916,-2.2122683515090698,-2.182867925851956,1.1227499080287906,1.1243494672535377,True,True,False,False,5.215143084203994e-10,0.04,0.65,0.9,0.8,1.5,-1.0
